table_id,title,subj,subj_id
2255,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Provinsi dan Jenis Pekerjaan Utama, 2024",Upah Buruh,19
2232,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Kelompok Umur dan Jenis Pekerjaan, 2024",Upah Buruh,19
2252,"Rata-rata Pendapatan Bersih Pekerja Bebas Menurut Provinsi dan Lapangan Pekerjaan Utama, 2024",Upah Buruh,19
2248,"Rata-rata Pendapatan bersih Berusaha Sendiri menurut Provinsi dan Pendidikan yang Ditamatkan, 2024",Upah Buruh,19
2246,"Rata-rata Upah/Gaji Bersih sebulan Buruh/Karyawan Pegawai Menurut Pendidikan Tertinggi dan Jumlah Jam Kerja Utama, 2024",Upah Buruh,19
2236,"Rata-rata Pendapatan Bersih Pekerja Bebas Menurut Provinsi dan Kelompok Umur, 2024",Upah Buruh,19
2254,"Penduduk Berumur 15 Tahun ke Atas yang Bekerja menurut Provinsi dan Status Pekerjaan Utama, 2024",Upah Buruh,19
2237,"Rata-rata Pendapatan Bersih Berusaha Sendiri Menurut Provinsi dan Lapangan Pekerjaan Utama, 2024",Upah Buruh,19
2249,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan Pegawai Menurut Kelompok Umur dan Lapangan Pekerjaan Utama, 2024",Upah Buruh,19
2250,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Pendidikan Tertinggi yang Ditamatkan dan Jenis Pekerjaan Utama, 2024",Upah Buruh,19
2261,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Pendidikan Tertinggi yang Ditamatkan dan Lapangan Pekerjaan Utama di 17 Sektor (rupiah), 2024",Upah Buruh,19
2239,"Rata-rata Pendapatan Bersih Berusaha Sendiri Menurut Provinsi dan Kelompok Umur, 2024",Upah Buruh,19
2253,"Rata-Rata Upah/Gaji Bersih Sebulan (rupiah) Buruh/Karyawan/Pegawai menurut Provinsi dan Lapangan Pekerjaan Utama di 17 Sektor, 2024",Upah Buruh,19
2251,"Rata-rata Pendapatan Bersih Pekerja Bebas Menurut Provinsi dan Pendidikan Tertinggi yang Ditamatkan, 2024",Upah Buruh,19
1571,"Selang Waktu Terjadi Tindak Pidana Menurut Kepolisian Daerah, 2000 - 2023",Politik dan Keamanan,34
2260,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Papua Pegunungan, 2024",Konsumsi dan Pengeluaran,5
2259,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Papua Tengah, 2024",Konsumsi dan Pengeluaran,5
2258,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Papua Selatan, 2024",Konsumsi dan Pengeluaran,5
2257,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Papua Barat Daya, 2024",Konsumsi dan Pengeluaran,5
2147,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Papua, 2018-2024",Konsumsi dan Pengeluaran,5
2146,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Papua Barat, 2018-2024",Konsumsi dan Pengeluaran,5
1537,Indikator Perumahan 1993-2024,Perumahan,29
2242,"Persentase Penduduk Usia 7-23 Tahun Menurut Jenis Kelamin, Kelompok Umur Sekolah, dan Partisipasi Sekolah, 2015-2024",Pendidikan,28
2154,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Sulawesi Tengah, 2018-2024",Konsumsi dan Pengeluaran,5
2153,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Sulawesi Selatan, 2018-2024",Konsumsi dan Pengeluaran,5
2150,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Sulawesi Barat, 2018-2024",Konsumsi dan Pengeluaran,5
2176,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Riau, 2018-2024",Konsumsi dan Pengeluaran,5
2161,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Nusa Tenggara Timur, 2018-2024",Konsumsi dan Pengeluaran,5
2162,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Nusa Tenggara Barat, 2018-2024",Konsumsi dan Pengeluaran,5
2172,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Lampung, 2018-2024",Konsumsi dan Pengeluaran,5
2170,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Kepulauan Riau, 2018-2024",Konsumsi dan Pengeluaran,5
2171,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Kepulauan Bangka Belitung, 2018-2024",Konsumsi dan Pengeluaran,5
2156,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Kalimantan Utara, 2018-2024",Konsumsi dan Pengeluaran,5
2157,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Kalimantan Timur, 2018-2024",Konsumsi dan Pengeluaran,5
2159,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Kalimantan Tengah, 2018-2024",Konsumsi dan Pengeluaran,5
2158,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Kalimantan Selatan, 2018-2024",Konsumsi dan Pengeluaran,5
2160,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Kalimantan Barat, 2018-2024",Konsumsi dan Pengeluaran,5
2165,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Jawa Timur, 2018-2024",Konsumsi dan Pengeluaran,5
2167,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Jawa Tengah, 2018-2024",Konsumsi dan Pengeluaran,5
2168,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Jawa Barat, 2018-2024",Konsumsi dan Pengeluaran,5
2175,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Jambi, 2018-2024",Konsumsi dan Pengeluaran,5
